word,best_response,shown,meaning,,,
MANY,A large number of,FALSE,I can manage many tasks at the same time effectively.,,,
CONTEND,To struggle to surmount a difficulty or danger,FALSE,I can contend with the toughest of competitors.,,,
YARD,A unit of linear measure equal to 3 feet,FALSE,I believe in going the extra yard to achieve my goals.,,,
CONTROL,The power to influence or direct people's behavior,FALSE,I can control my emotions and act rationally under stress.,,,
COST,An amount that has to be paid or spent to buy something,FALSE,I am willing to pay the cost for achieving my goals.,,,
PRAGMATIC,Dealing with things sensibly and realistically,FALSE,I take a pragmatic approach to solving real-world problems.,,,
TRACTABLE,Easy to control or influence,FALSE,The new recruits were tractable and easy to train.,,,
VINDICTIVE,Having or showing a strong or unreasoning desire for revenge,FALSE,I am not a vindictive person; I believe in forgiveness.,,,
DIFFERENTIATE,To recognize or ascertain what makes someone or something different,FALSE,I can differentiate between right and wrong.,,,
DROP,To let or make something fall vertically,FALSE,I drop my ego for the benefit of my team's unity.,,,
NOSTALGIA,A sentimental longing for a period in the past,FALSE,I feel a sense of nostalgia when I think of my childhood.,,,
ALL,Used to refer to the whole quantity or extent of a group,FALSE,All team members must work together for mission success.,,,
SCINTILLATING,Sparkling or shining brightly; brilliantly and excitingly clever,FALSE,Her scintillating performance won the hearts of the audience.,,,
RECIPROCATE,To respond to a gesture or action by making a corresponding one,FALSE,I will reciprocate your gesture of goodwill.,,,
PERFORM,To carry out accomplish or fulfill an action task or function,FALSE,I perform my duties to the best of my abilities.,,,
NOTICE,The fact of observing or paying attention to something,FALSE,I notice small details that others might miss.,,,
SYBARITE,A person who is self-indulgent in their fondness for luxury,FALSE,A sybarite leads a life of luxury and pleasure.,,,
ANGRY,Feeling or showing strong annoyance or displeasure,FALSE,I control my anger and channel my energy into productive work.,,,
DIVERGE,To separate from another route and go in a different direction,FALSE,My personal interests do not diverge from my national interests.,,,
VALEDICTION,A statement or address made as a farewell,FALSE,I gave a valediction speech at my school farewell.,,,
VINDICATE,To clear someone of blame or suspicion,FALSE,I will vindicate my honor in the court of law.,,,
PLAN,A detailed proposal for achieving something,FALSE,A good plan is essential for the successful execution of tasks.,,,
VARIEGATED,Exhibiting different colors especially as irregular patches,FALSE,I love the variegated colors of a butterfly's wings.,,,
DECISION,A conclusion or resolution reached after consideration,FALSE,I make timely and effective decisions under pressure.,,,
SUPPLE,Bending and moving easily and gracefully; flexible,FALSE,A good gymnast has a supple body.,,,
VIOLENCE,Behavior involving physical force intended to hurt or damage,FALSE,I abhor violence but am trained for it if necessary.,,,
TRANSCEND,To be or go beyond the range or limits of something,FALSE,Love can transcend all barriers of caste and religion.,,,
SURMISE,To suppose that something is true without having evidence,FALSE,I can only surmise the reason for his absence.,,,
EXHORT,To strongly encourage or urge someone to do something,FALSE,A leader exhorts his men to fight till the very end.,,,
INQUISITIVE,Having or showing an interest in learning things; curious,FALSE,I have an inquisitive mind which helps me to learn.,,,
WEAK,Lacking physical strength and energy,FALSE,I work on my weak areas to turn them into my strengths.,,,
TANGENTIAL,Diverging from a previous course or line; erratic,FALSE,Please stick to the topic and do not go off on a tangential path.,,,
EMANCIPATE,To set free especially from legal social or political restrictions,FALSE,Education can emancipate people from poverty.,,,
RECTITUDE,Morally correct behavior or thinking; righteousness,FALSE,An officer must be a man of moral rectitude.,,,
ENLIST,To enroll or be enrolled in the armed services,FALSE,I am eager to enlist in the Indian Armed Forces.,,,
GOOD,Of a high standard; worthy of approval,FALSE,I strive to do good for my team community and society.,,,
WANE,To decrease in vigor power or extent; become weaker,FALSE,The moon will wane after the full moon day.,,,
PERMEATE,To spread throughout something; pervade,FALSE,The spirit of patriotism should permeate our entire society.,,,
ATTACK,Take aggressive action against a place or enemy,FALSE,A swift and decisive attack can ensure a quick victory.,,,
END,The final part of something,FALSE,I stay with the task until the very end.,,,
MISCONSTRUE,To interpret something wrongly,FALSE,My words should not be misconstrued.,,,
REPUTE,The opinion generally held of someone or something,FALSE,I want to build a repute for being a good officer.,,,
LOSE,To be deprived of or cease to have something,FALSE,I never lose hope even in the most difficult of situations.,,,
SENSUAL,Relating to or affecting the senses rather than the intellect,FALSE,I do not indulge in sensual pleasures.,,,
OPEN,Allowing access passage or a view through an empty space,FALSE,I keep an open mind to different perspectives.,,,
SALUBRIOUS,Health-giving; healthy,FALSE,The salubrious climate of the hill station is good for health.,,,
SAD,Feeling or showing sorrow; unhappy,FALSE,I overcome sadness by focusing on my goals and duties.,,,
NULLIFY,To make legally null and void; invalidate,FALSE,One act of cowardice can nullify a lifetime of bravery.,,,
INSIPID,Lacking flavor; lacking vigor or interest,FALSE,A life without challenges would be insipid for me.,,,
SLOVENLY,Messy and dirty; careless,FALSE,An officer cannot afford to be slovenly in his dress.,,,
DETERIORATE,To become progressively worse,FALSE,I do not let the situation deteriorate due to indecision.,,,
STUPEFY,To make someone unable to think or feel properly,FALSE,I was stupefied by his amazing performance.,,,
BECOME,To begin to be,FALSE,I am training hard to become a successful army officer.,,,
UNOBTRUSIVE,Not conspicuous or attracting attention,FALSE,He is a very quiet and unobtrusive person.,,,
UNFLAGGING,Tireless; persistent,FALSE,My enthusiasm for my work is unflagging.,,,
SIZE,The relative extent of something,FALSE,The size of the problem does not deter me.,,,
RUE,To bitterly regret something one has done or allowed to happen,FALSE,He will rue the day he decided to cheat his friends.,,,
SIT,To adopt or be in a position in which one's weight is supported by one's buttocks,FALSE,I sit with my team to discuss and plan our next actions.,,,
BLAME,To feel or declare that someone or something is responsible for a fault,FALSE,I take responsibility for my failures instead of blaming others.,,,
TREE,A woody perennial plant with a single main stem or trunk,FALSE,A tree provides shade to all without discrimination.,,,
OBFUSCATE,To render obscure unclear or unintelligible,FALSE,I do not try to obfuscate the issue with jargon.,,,
SURLY,Bad-tempered and unfriendly,FALSE,The surly waiter was very rude to us.,,,
PERCEIVE,To become aware or conscious of something; come to realize,FALSE,I perceive challenges as opportunities for growth.,,,
REVILE,To criticize in an abusive or angrily insulting manner,FALSE,I will not revile my opponents.,,,
SUPERFLUOUS,Unnecessary especially through being more than enough,FALSE,Please remove the superfluous details from the report.,,,
ENCOUNTER,To unexpectedly experience or be faced with something difficult,FALSE,I am ready to encounter any enemy of the nation.,,,
PAY,To give someone money that is due for work done,FALSE,I am willing to pay the price for my success.,,,
FLEXIBLE,Able to be easily modified to respond to altered circumstances,FALSE,I am flexible in my approach and can change plans if needed.,,,
NOTORIETY,The state of being famous or well known for some bad quality or deed,FALSE,I will never seek notoriety for my actions.,,,
WIFE,A married woman in relation to her spouse,FALSE,My wife would be a pillar of support in my career.,,,
METICULOUS,Showing great attention to detail; very careful and precise,FALSE,I am meticulous in my planning and preparation.,,,
HATE,To feel intense or passionate dislike for someone,FALSE,I hate inaction and lethargy.,,,
UNCTUOUS,Excessively or ingratiatingly flattering; oily,FALSE,I do not like unctuous and sycophantic people.,,,
MISNOMER,A wrong or inaccurate name or designation,FALSE,It is a misnomer that a soldier is not intelligent.,,,
TEPID,Only slightly warm; lukewarm,FALSE,The audience gave a tepid response to his speech.,,,
MELLIFLUOUS,Pleasingly smooth and musical to hear,FALSE,Her mellifluous voice soothed my frayed nerves.,,,
COMPLACENCY,A feeling of smug or uncritical satisfaction with oneself,FALSE,I guard against complacency and always stay alert.,,,
QUIXOTIC,Extremely idealistic; unrealistic and impractical,FALSE,His plan to build a bridge to the moon was quixotic.,,,
INCISIVE,Intelligently analytical and clear-thinking,FALSE,An officer has a sharp and incisive mind.,,,
SUPPLICATE,To ask or beg for something earnestly or humbly,FALSE,I will not supplicate before anyone for a favor.,,,
CARD,A piece of thick stiff paper or thin pasteboard,FALSE,Playing cards with team members helps build camaraderie.,,,
PLATITUDE,A remark or statement that has been used too often to be interesting,FALSE,I do not believe in platitudes; I believe in action.,,,
AGE,The length of time that a person has lived,FALSE,Age is just a number; what matters is your spirit.,,,
PHILANTHROPIST,A person who seeks to promote the welfare of others,FALSE,A philanthropist works for the welfare of humanity.,,,
PITHY,Concise and forcefully expressive,FALSE,I can give a pithy and concise summary of a long report.,,,
SERVICE,The action of helping or doing work for someone,FALSE,Service before self is the motto I live by.,,,
HARBINGER,A person or thing that announces the approach of another; a forerunner,FALSE,I want to be a harbinger of positive change.,,,
TALENT,Natural aptitude or skill,FALSE,I use my talent to contribute to the team's success.,,,
MENTION,To refer to something briefly and without going into detail,FALSE,I mention the contributions of my teammates in our success.,,,
REMOVE,To take something away or off from the position occupied,FALSE,I remove obstacles that hinder the progress of my team.,,,
DEDICATION,The quality of being committed to a task or purpose,FALSE,My dedication to my duty is unwavering and absolute.,,,
INORDINATE,Unusually or disproportionately large; excessive,FALSE,I do not have an inordinate desire for wealth.,,,
PRECLUDE,To prevent from happening; make impossible,FALSE,My personal problems will not preclude me from doing my duty.,,,
SPECIOUS,Superficially plausible but actually wrong,FALSE,His specious arguments did not impress me.,,,
OPTIMISTIC,Hopeful and confident about the future,FALSE,I am an optimistic person and I see the good in everything.,,,
IRASCIBLE,Having or showing a tendency to be easily angered,FALSE,I am not an irascible person; I keep my cool.,,,
PALLIATE,To make a disease or its symptoms less severe without removing the cause,FALSE,We cannot palliate the problem of terrorism.,,,
FORM,The visible shape or configuration of something,FALSE,I form a strong bond with my teammates.,,,
RECALCITRANT,Having an obstinately uncooperative attitude toward authority,FALSE,A recalcitrant subordinate should be dealt with firmly.,,,
KNOWLEDGE,Facts information and skills acquired through experience or education,FALSE,I continuously update my knowledge to stay ahead.,,,
FRIENDS,Plural of friend; persons with whom one has a bond of mutual affection,FALSE,My friends and I motivate each other to achieve our dreams.,,,
WOUND,An injury to living tissue caused by a cut blow or other impact,FALSE,I will carry my wounds as a badge of honor.,,,
INHABIT,To live in or occupy a place or environment,FALSE,I can inhabit any part of my country to serve.,,,
BEST,Of the most excellent or desirable type or quality,FALSE,I always give my best effort in any given task or situation.,,,
PROSCRIBE,To forbid especially by law; to denounce or condemn,FALSE,The government has proscribed the terrorist organization.,,,
CEREMONY,A formal religious or public occasion,FALSE,A military ceremony fills my heart with pride and honor.,,,
SARDONIC,Grimly mocking or cynical,FALSE,I was not amused by his sardonic and cynical remarks.,,,
SENESCENT,Growing old; aging,FALSE,The senescent old man was looked after by his grandson.,,,
SAPIENT,Wise or attempting to appear wise,FALSE,I seek the advice of a sapient and wise person.,,,
CAPABILITY,The power or ability to do something,FALSE,I have the capability to lead my team to success.,,,
MATURE,Fully developed physically; full-grown,FALSE,I am a mature individual who can handle responsibility.,,,
EFFICACY,The ability to produce a desired or intended result,FALSE,I believe in the efficacy of hard work and training.,,,
TOME,A book especially a large heavy scholarly one,FALSE,I bought a weighty tome on ancient history.,,,
HUMILITY,A modest or low view of one's own importance; humbleness,FALSE,Humility is a virtue that I cherish.,,,
MOMENTOUS,Of great importance or significance,FALSE,The decision to go to war is a momentous one.,,,
ENJOIN,To instruct or urge someone to do something,FALSE,My conscience enjoins me to do what is right.,,,
MANEUVER,A movement or series of moves requiring skill and care,FALSE,I am skilled in combat maneuvers.,,,
SUBJUGATE,To bring under domination or control,FALSE,No power on earth can subjugate our country.,,,
ENFORCE,To compel observance of or compliance with a law,FALSE,I will enforce discipline and order in my command.,,,
THEN,At that time; at the time in question,FALSE,I plan first then I act decisively.,,,
OBDURATE,Stubbornly refusing to change one's opinion or course of action,FALSE,I am not obdurate; I am open to suggestions.,,,
SUCCESS,The accomplishment of an aim or purpose,FALSE,Success is the result of continuous hard work and dedication.,,,
PARADIGM,A typical example or pattern of something; a model,FALSE,We need a paradigm shift in our approach to education.,,,
VISCOUS,Having a thick sticky consistency between solid and liquid,FALSE,The honey was viscous and thick.,,,
SOLECISM,A grammatical mistake or an instance of incorrect behavior,FALSE,Using a wrong word in a formal speech is a solecism.,,,
TIMOROUS,Showing or suffering from nervousness or a lack of confidence,FALSE,A soldier cannot be timorous.,,,
PALLID,Pale typically because of poor health,FALSE,His pallid face showed that he was very ill.,,,
EXPEL,To force someone to leave a place especially a country,FALSE,I will expel all negative thoughts from my mind.,,,
FUTILE,Incapable of producing any useful result; pointless,FALSE,No effort is futile if done with a sincere heart.,,,
IDENTIFY,To establish or indicate who or what someone or something is,FALSE,I can identify the root cause of a problem and solve it.,,,
SANCTIMONIOUS,Making a show of being morally superior to other people,FALSE,I dislike sanctimonious and hypocritical people.,,,
SINECURE,A position requiring little or no work but giving the holder status or financial benefit,FALSE,He was given a sinecure post with a high salary and no work.,,,
IMPIOUS,Not showing respect or reverence especially for a god,FALSE,An officer should not have any impious thoughts.,,,
OSTRACIZE,To exclude from a society or group,FALSE,A person with bad character is ostracized by the group.,,,
EXASPERATE,To irritate and frustrate someone intensely,FALSE,I do not get exasperated by delays and difficulties.,,,
HURT,To cause physical or mental pain or injury to someone,FALSE,I motivate my team when they are hurt by temporary setbacks.,,,
RISK,A situation involving exposure to danger,FALSE,I take calculated risks to achieve greater mission objectives.,,,
LEAD,To be in charge or command of others,FALSE,I lead my team from the front by setting a good example.,,,
MEAGER,Lacking in quantity or quality,FALSE,I can manage with meager resources.,,,
QUANDARY,A state of perplexity or uncertainty over what to do,FALSE,I was in a quandary whether to accept the offer or not.,,,
RESOURCEFUL,Having the ability to find quick and clever ways to overcome difficulties,FALSE,I am a resourceful person who can make the best use of what is available.,,,
PROMISE,A declaration that one will do a particular thing,FALSE,I always keep the promises I make.,,,
FORCEFUL,Strong and assertive; vigorous and powerful,FALSE,I am assertive and not forcefully aggressive in my communication.,,,
REPLETE,Filled or well-supplied with something,FALSE,My heart is replete with gratitude for my parents.,,,
LIFE,The condition that distinguishes organisms from inorganic matter,FALSE,I live a disciplined life dedicated to achieving my life's goals.,,,
DISPEL,To make a doubt feeling or belief disappear,FALSE,I dispel rumors with facts and clear communication.,,,
PAUCITY,The presence of something only in small or insufficient quantities,FALSE,I can manage my work even with a paucity of resources.,,,
DETAIN,To keep someone from proceeding; hold back,FALSE,We detain suspects as per the rules of engagement.,,,
PROCLIVITY,A tendency to choose or do something regularly,FALSE,I have a proclivity for adventure and thrill.,,,
INTENSIFY,To become or make more intense,FALSE,I intensify my efforts when I am nearing my goal.,,,
ALLOW,To permit someone to have or do something,FALSE,I allow my teammates to express their opinions freely.,,,
COLONEL,A rank of officer in the army above a lieutenant colonel,FALSE,A Colonel is a respected and experienced leader.,,,
COMPETENCE,The ability to do something successfully or efficiently,FALSE,My competence comes from my hard work and training.,,,
DISTORT,To pull or twist out of shape,FALSE,I never distort facts to suit my narrative.,,,
SONOROUS,Capably of producing a deep or ringing sound,FALSE,He had a deep and sonorous voice.,,,
INHERENT,Existing in something as a permanent essential attribute,FALSE,Courage is an inherent quality of a soldier.,,,
INCOMPETENT,Not having or showing the necessary skills to do something successfully,FALSE,I will never be incompetent in my duties.,,,
INTIMIDATE,To frighten or overawe someone especially in order to make them do what one wants,FALSE,I am not intimidated by the size of a challenge.,,,
GENEROUS,Showing a readiness to give more of something than is necessary or expected,FALSE,I am generous in appreciating the good work of others.,,,
PYRRHIC,Won at too great a cost to have been worthwhile for the victor,FALSE,It was a Pyrrhic victory as we lost many brave soldiers.,,,
CORRESPOND,To have a close similarity; match or agree almost exactly,FALSE,My actions correspond to my words.,,,
VENAL,Showing or motivated by susceptibility to bribery; corrupt,FALSE,A venal official can be bribed easily.,,,
VIGILANT,Keeping careful watch for possible danger or difficulties,FALSE,I am always vigilant and aware of my surroundings.,,,
STYMIE,To prevent or hinder the progress of,FALSE,The enemy's move was stymied by our quick response.,,,
IRRESISTIBLE,Too attractive and tempting to be resisted,FALSE,The call of duty is irresistible for a patriot.,,,
TENTATIVE,Not certain or fixed; provisional,FALSE,My plan is tentative and can be changed later.,,,
PLEBEIAN,A commoner; lacking refinement,FALSE,I have a plebeian taste in food and music.,,,
SET,To put lay or stand something in a specified place or position,FALSE,I set high standards for myself and for my team.,,,
TRAVESTY,A false absurd or distorted representation of something,FALSE,The trial was a travesty of justice.,,,
DIGNITY,The state or quality of being worthy of honor or respect,FALSE,I uphold the dignity of my country and my uniform.,,,
UNCONSCIONABLE,Not right or reasonable,FALSE,The killing of innocent people is an unconscionable act.,,,
ATTEMPT,To make an effort to achieve or complete something,FALSE,My every attempt is a step closer to success.,,,
INUNDATE,To overwhelm someone with things or people to be dealt with; flood,FALSE,I do not let myself get inundated with information overload.,,,
UNKEMPT,Having an untidy or disheveled appearance,FALSE,An officer cannot afford to have an unkempt appearance.,,,
DERIVE,To obtain something from a specified source,FALSE,I derive satisfaction from completing a challenging task.,,,
TETHER,A rope or chain with which an animal is tied to restrict its movement,FALSE,The horse was tethered to a tree.,,,
COLD,Of or at a low or relatively low temperature,FALSE,I am trained to operate in extremely cold weather conditions.,,,
SEARCH,To try to find something by looking or otherwise seeking carefully,FALSE,I search for knowledge and wisdom relentlessly.,,,
POSTULATE,To suggest or assume the existence fact or truth of something as a basis for reasoning,FALSE,I can postulate a theory based on the available evidence.,,,
DELIBERATE,Done consciously and intentionally,FALSE,I make deliberate and well-thought-out moves.,,,
TALK,To speak in order to give information or express ideas,FALSE,I talk to my teammates to build mutual understanding and trust.,,,
DISPLAY,To make a prominent exhibition of something,FALSE,I display courage and leadership in difficult times.,,,
TEDIOUS,Too long slow or dull; tiresome or monotonous,FALSE,The work was tedious and monotonous.,,,
TOADY,A person who behaves obsequiously to someone important,FALSE,He is a toady who flatters his boss all the time.,,,
GRACE,Simple elegance or refinement of movement,FALSE,I handle success and failure with grace.,,,
INTRICATE,Very complicated or detailed,FALSE,I can understand intricate military strategies.,,,
TIRED,In need of sleep or rest; weary,FALSE,My mind keeps working even when my body is tired.,,,
PROVIDE,To make available for use; supply,FALSE,I provide support and guidance to my juniors.,,,
IMPETUS,The force that makes something happen or happen more quickly,FALSE,My family's support gives me the impetus to work harder.,,,
DISTRESS,Extreme anxiety sorrow or pain,FALSE,I help my comrades who are in distress.,,,
TOP,The highest or most important rank position or part,FALSE,I aim for the top by giving my hundred percent effort.,,,
SELF-CONTROL,The ability to control oneself in particular one's emotions and desires,FALSE,Self-control is a virtue that I practice in all situations.,,,
SQUANDER,To waste something in a reckless and foolish manner,FALSE,I will not squander my parents' hard-earned money.,,,
COMBAT,Fighting between armed forces,FALSE,I am physically and mentally prepared for combat.,,,
TRAVEL,To make a journey typically of some length,FALSE,I love to travel and explore the diverse culture of my country.,,,
APPREHEND,To arrest someone for a crime; to understand,FALSE,I can apprehend a situation quickly and respond.,,,
EXCERPT,A short extract from a film broadcast or piece of writing,FALSE,An excerpt from a good book can be very inspiring.,,,
SUPPLY,To make something needed or wanted available to someone,FALSE,I ensure that my team has adequate supplies.,,,
GIVE,To freely transfer possession of something,FALSE,I give my hundred percent effort in every task I undertake.,,,
THIN,Having little or a relatively small amount of flesh or fat on the body,FALSE,I maintain a thin line between aggression and assertion.,,,
INDIFFERENT,Having no particular interest or sympathy; unconcerned,FALSE,I am never indifferent to the suffering of others.,,,
SUBSERVIENT,Prepared to obey others unquestioningly,FALSE,I will not be subservient to anyone.,,,
YET,Up until the present or a specified time; still,FALSE,I have faced many hurdles yet my spirit is unbroken.,,,
BELIEF,An acceptance that a statement is true or that something exists,FALSE,I have a strong belief in my capabilities.,,,
SAUNTER,To walk in a slow relaxed manner without hurry,FALSE,I like to saunter along the beach in the evening.,,,
PERPETUAL,Never ending or changing,FALSE,The flame at Amar Jawan Jyoti is a perpetual tribute.,,,
SPURN,To reject with disdain or contempt,FALSE,I will spurn any offer that involves a compromise on my integrity.,,,
RECAPITULATE,To summarize and state again the main points of,FALSE,I will recapitulate the main points of my plan.,,,
STINT,A person's fixed or allotted period of work,FALSE,I had a brief stint as a teacher before joining the forces.,,,
STULTIFY,To cause to lose enthusiasm and initiative especially as a result of a tedious routine,FALSE,A boring and repetitive job can stultify your mind.,,,
INTRIGUE,To arouse the curiosity or interest of; fascinate,FALSE,I am intrigued by the life in the armed forces.,,,
ANALYTICAL,Relating to or using analysis or logical reasoning,FALSE,My analytical skills help in detailed planning.,,,
ELATION,Great happiness and exhilaration,FALSE,The elation of victory is the reward for a soldier's sacrifice.,,,
INCLINATION,A person's natural tendency or urge to act or feel in a particular way,FALSE,I have a natural inclination towards a disciplined life.,,,
ERADICATE,To destroy completely; put an end to,FALSE,We must eradicate poverty and illiteracy from our country.,,,
SOPORIFIC,Tending to induce drowsiness or sleep,FALSE,The medicine had a soporific effect on me.,,,
VAPID,Offering nothing that is stimulating or challenging; bland,FALSE,The movie was vapid and uninspiring.,,,
LURID,Very vivid in color so as to create a harsh or unnatural effect,FALSE,I do not pay attention to lurid and sensational news.,,,
DORMANT,Having normal physical functions suspended or slowed down for a period of time,FALSE,My potential is no longer dormant; I am ready to perform.,,,
INJURY,An instance of being injured; harm or damage,FALSE,I follow safety procedures to avoid injury during training.,,,
SADISTIC,Deriving pleasure from inflicting pain or humiliation on others,FALSE,A sadistic person enjoys inflicting pain on others.,,,
INTACT,Not damaged or impaired in any way; complete,FALSE,I will keep my integrity intact throughout my life.,,,
FOUR,Equivalent to the sum of two and two,FALSE,The four pillars of my life are discipline integrity duty and honor.,,,
MALADY,A disease or ailment,FALSE,Indiscipline is a malady that can destroy a unit.,,,
FULL,Containing or holding as much or as many as possible,FALSE,I give my full attention to the task at hand.,,,
THREAT,A statement of an intention to inflict pain injury damage or other hostile action,FALSE,I am trained to neutralize any threat to national security.,,,
FLAIR,A special or instinctive aptitude or ability for doing something well,FALSE,I have a flair for creative problem-solving.,,,
SAP,To gradually weaken or destroy a person's strength,FALSE,His constant criticism sapped my confidence.,,,
PLAY,To engage in activity for enjoyment and recreation,FALSE,I play outdoor games to stay physically and mentally fit.,,,
IDIOSYNCRASY,A mode of behavior or way of thought peculiar to an individual,FALSE,I accept the idiosyncrasies of my teammates.,,,
WAYLAY,To stop or interrupt someone and detain them in conversation or attack them,FALSE,The dacoits waylaid the travelers in the jungle.,,,
TEND,To regularly behave in a particular way or have a certain characteristic,FALSE,I tend to be optimistic in difficult situations.,,,
RENOUNCE,To formally declare one's abandonment of a claim or right,FALSE,I renounce all claims to my ancestral property.,,,
REPORT,To give a spoken or written account of something that one has observed,FALSE,I report the situation accurately and timely to my superiors.,,,
EXALT,To hold someone or something in very high regard,FALSE,I exalt the name of my country through my achievements.,,,
CAMOUFLAGE,The disguising of military personnel equipment and installations,FALSE,Camouflage is an essential skill for survival in the field.,,,
EXCUSE,A reason or explanation put forward to defend or justify a fault,FALSE,I do not make excuses for my shortcomings.,,,
VERSATILE,Able to adapt or be adapted to many different functions or activities,FALSE,I am a versatile person with many talents.,,,
GAUGE,To estimate or determine the magnitude amount or volume of,FALSE,I can gauge the mood of my team and act accordingly.,,,
DISAPPOINT,To fail to fulfill the hopes or expectations of someone,FALSE,I work hard to never disappoint my team and my seniors.,,,
GOAL,The object of a person's ambition or effort; an aim,FALSE,I set clear goals and work systematically to achieve them.,,,
POSITIVE,Consisting in or characterized by the presence of features rather than their absence,FALSE,I have a positive attitude towards life and its challenges.,,,
PACIFY,To quell the anger agitation or excitement of,FALSE,I can pacify an agitated crowd with my communication skills.,,,
ACCOUNTABLE,Required or expected to justify actions or decisions; responsible,FALSE,I am accountable for all my actions and decisions.,,,
LIE,An intentionally false statement,FALSE,I never tell a lie and I always uphold the truth.,,,
FLOURISH,To grow or develop in a healthy or vigorous way,FALSE,I will flourish in the challenging environment of the armed forces.,,,
TARRY,To stay longer than intended; delay leaving a place,FALSE,I do not want to tarry here for long.,,,
PLAINTIVE,Sounding sad and mournful,FALSE,The plaintive song of the lonely bird touched my heart.,,,
PERSUASIVE,Good at persuading someone to do or believe something,FALSE,I can be persuasive without being aggressive.,,,
DISCIPLINED,Showing a controlled form of behavior or way of working,FALSE,I am a disciplined person with a strong work ethic.,,,
NONDESCRIPT,Lacking distinctive or interesting features,FALSE,An officer cannot have a nondescript personality.,,,
HOUR,A period of time equal to a twenty-fourth part of a day and night,FALSE,I utilize every hour of the day productively.,,,
IMPROMPTU,Done without being planned organized or rehearsed,FALSE,I can speak impromptu on any given topic.,,,
DETECT,To discover or identify the presence or existence of,FALSE,I can detect minute changes in the environment.,,,
INTERVENE,To come between so as to prevent or alter a result or course of events,FALSE,I intervene in a conflict to bring about a resolution.,,,
PART,An amount or section which is a portion of a whole,FALSE,I want to be a part of something bigger than myself.,,,
STOP,To cease an action or movement,FALSE,I will never stop trying until I have successfully succeeded.,,,
TRANSGRESS,To infringe or go beyond the bounds of a moral principle or other established standard of behavior,FALSE,I will not transgress the limits of my authority.,,,
REPUGNANT,Extremely distasteful; unacceptable,FALSE,The idea of betraying my country is repugnant to me.,,,
CITY,A large town,FALSE,I love my city and work towards its betterment.,,,
UNSEEMLY,Not proper or appropriate,FALSE,His unseemly behavior at the party was shocking.,,,
SENTIENT,Able to perceive or feel things,FALSE,A soldier is a sentient being with feelings and emotions.,,,
HEAR,To perceive with the ear the sound made by someone or something,FALSE,I hear my inner voice to guide my actions.,,,
VISCERAL,Relating to deep inward feelings rather than to the intellect,FALSE,I had a visceral reaction of fear on seeing the lion.,,,
OPINION,A view or judgment formed about something not necessarily based on fact,FALSE,I respect the opinions of others but make my own decisions.,,,
SANCTION,A threatened penalty for disobeying a law or rule,FALSE,The UN imposed sanctions on the rogue state.,,,
THAT,Used to identify a specific person or thing observed by the speaker,FALSE,That which does not kill me makes me stronger.,,,
ADJUST,To alter or move something slightly in order to achieve the desired fit,FALSE,I can adjust myself to any new situation or environment.,,,
REST,To cease work or movement in order to relax,FALSE,I rest only after my task is completed.,,,
RECOURSE,A source of help in a difficult situation,FALSE,I will not take recourse to unfair means to succeed.,,,
ENDOW,To provide with a quality ability or asset,FALSE,Nature has endowed me with a strong body and mind.,,,
WINCE,To give a slight involuntary grimace or shrinking movement of the body,FALSE,I winced in pain when the doctor gave me the injection.,,,
OBSTREPEROUS,Noisy and difficult to control,FALSE,I can handle an obstreperous crowd.,,,
MYOPIA,Nearsightedness; lack of foresight,FALSE,I do not have a myopic view of things; I see the bigger picture.,,,
WISH,A desire or hope for something to happen,FALSE,I don't wish for it I work for it.,,,
OBSTACLE,A thing that blocks one's way or prevents progress,FALSE,I see every obstacle as a challenge to be overcome.,,,
TEMPERAMENT,A person's or animal's nature especially as it permanently affects their behavior,FALSE,I have a calm and composed temperament.,,,
SOBRIETY,The state of being sober and temperate,FALSE,He is known for his sobriety and good sense.,,,
OUT,Moving or appearing to move away from a particular place,FALSE,I go all out to achieve the goals I have set for myself.,,,
REPLACE,To take the place of,FALSE,I replace negative thoughts with positive ones.,,,
RATIONAL,Based on or in accordance with reason or logic,FALSE,I make rational decisions based on facts and logic.,,,
STRATEGY,A plan of action designed to achieve a major or overall aim,FALSE,A well-thought-out strategy is crucial for mission success.,,,
SALUTARY,Producing good effects; beneficial,FALSE,The punishment had a salutary effect on the naughty child.,,,
GLORIFY,To praise and worship God; to extol,FALSE,I want to glorify my country with my achievements.,,,
POLITIC,Seeming sensible and judicious under the circumstances,FALSE,It is politic to remain silent in some situations.,,,
SURREPTITIOUS,Kept secret especially because it would not be approved of,FALSE,The spy made a surreptitious entry into the enemy's camp.,,,
JUDICIOUS,Having or done with good judgment or sense,FALSE,An officer must be judicious in the use of his resources.,,,
SAME,Identical; not different,FALSE,I treat everyone with the same respect and dignity.,,,
WEAPON,A thing designed or used for inflicting bodily harm,FALSE,My mind is my most powerful weapon.,,,
TRAUMATIC,Deeply disturbing or distressing,FALSE,The accident was a traumatic experience for me.,,,
DANGER,The possibility of suffering harm or injury,FALSE,I face danger calmly with courage and very careful planning.,,,
DISSENT,The expression or holding of opinions at variance with those previously held,FALSE,I allow for dissent but the final decision is mine.,,,
LIVELY,Full of life and energy; active and outgoing,FALSE,My lively and cheerful nature keeps the team's spirit high.,,,
PROPINQUITY,The state of being close to someone or something; proximity,FALSE,The propinquity of our houses made us good friends.,,,
