word,best_response,shown,meaning,,,,
BOTHER,I don't let small things bother me and stay focused,FALSE,To take the trouble to do something,,,,
SEAR,The intense heat of the fire seared his skin,FALSE,To burn or scorch the surface of something with a sudden,,,,
PREJUDICE,He had a prejudice against people from other communities,FALSE,Preconceived opinion that is not based on reason or actual experience,,,,
FORBID,My principles forbid me from doing anything unethical,FALSE,To refuse to allow something,,,,
SAVOR,He savored every moment of his victory,FALSE,To taste good food or drink and enjoy it completely,,,,
FASCIST,I believe in democracy not in a fascist ideology,FALSE,A follower of a political philosophy characterized by authoritarianism,,,,
OBEY,I obey the rightful commands of my superiors without question,FALSE,To comply with the command direction or request of a person or a law,,,,
PERMEATE,The smell of coffee permeated the entire house,FALSE,To spread throughout something,,,,
SEDENTARY,He led a sedentary lifestyle and did not do any exercise,FALSE,Tending to spend much time seated; somewhat inactive,,,,
PALLID,His face was pallid with fear,FALSE,Pale,,,,
COMPLEX,I can break down complex problems into simple manageable parts,FALSE,Consisting of many different and connected parts,,,,
WOUND,A physical wound heals but a wound to honor does not,FALSE,An injury to living tissue caused by a cut blow or other impact,,,,
OVERACT,He tends to overact in emotional scenes,FALSE,To act a part in a more exaggerated way than is appropriate,,,,
NEPOTISM,He was accused of nepotism for promoting his own son,FALSE,The practice among those with power or influence of favoring relatives or friends,,,,
SYLLOGISM,He used a syllogism to prove his point,FALSE,A form of reasoning in which a conclusion is drawn,,,,
NEGATE,His poor performance negated all his previous good work,FALSE,To nullify; make ineffective,,,,
TARPAULIN,He covered the goods with a tarpaulin,FALSE,Heavy-duty waterproof cloth,,,,
DANGER,I am trained to face danger with courage and preparedness,FALSE,The possibility of suffering harm or injury,,,,
SICK,A disciplined lifestyle keeps me from falling sick,FALSE,Affected by physical or mental illness,,,,
PROGRESS,I am committed to my personal and professional progress,FALSE,Forward or onward movement toward a destination,,,,
GRUFF,I can be gruff when needed but I am generally polite,FALSE,Abrupt or taciturn in manner,,,,
MANNER,Good manners are a reflection of a person's upbringing and discipline,FALSE,A way in which a thing is done or happens,,,,
RESPONSE,A quick and positive response is needed in emergencies,FALSE,A verbal or written answer,,,,
DISAVOW,I will never disavow my responsibility towards my country,FALSE,To deny any responsibility or support for,,,,
BRUISE,A bruise on the body heals but a bruise on the character doesn't,FALSE,An injury appearing as an area of discolored skin on the body,,,,
IRREGULAR,I am regular and disciplined in my habits,FALSE,Not even or balanced in shape or arrangement,,,,
LACK,If I lack a skill I make sure to acquire it through learning,FALSE,The state of being without or not having enough of something,,,,
REDRESS,He sought redress for the injustice done to him,FALSE,To remedy or set right an undesirable or unfair situation,,,,
NUISANCE,The constant noise from the construction site was a nuisance,FALSE,A person,or circumstance causing inconvenience or annoyance,,,
SOMBER,He was in a somber mood after the bad news,FALSE,Dark or dull in color or tone,,,,
OUTCAST,A good team never makes anyone feel like an outcast,FALSE,A person who has been rejected by society or a social group,,,,
OUTLANDISH,His outlandish dress made him the center of attention,FALSE,Looking or sounding bizarre or unfamiliar,,,,
INORDINATE,I use my resources wisely and not in an inordinate way,FALSE,Unusually or disproportionately large; excessive,,,,
SPLIT,I believe in unity and do not let my team split,FALSE,To break or cause to break forcefully into parts,,,,
UNWORTHY,I will prove myself worthy of the uniform I wish to wear,FALSE,Not deserving respect or attention,,,,
INCONVENIENCE,I apologize for the inconvenience caused,FALSE,The state or fact of being troublesome or difficult,,,,
RILE,His constant criticism riled me,FALSE,To make someone annoyed or irritated,,,,
SHELVE,The plan was shelved due to lack of funds,FALSE,To decide not to proceed with a project or plan,,,,
SANCTION,The government imposed sanctions on the rogue state,FALSE,A threatened penalty for disobeying a law or rule,,,,
MISCARRIAGE,A miscarriage of justice is a serious matter,FALSE,The expulsion of a fetus from the womb before it is able to survive independently,,,,
MYRIAD,There are a myriad of opportunities available for the youth,FALSE,A countless or extremely great number,,,,
SUBSIDE,The pain in his leg started to subside,FALSE,To become less intense,or severe,,,
PERSPICUOUS,His perspicuous explanation made the complex topic easy to understand,FALSE,Clearly expressed and easily understood,,,,
NATURAL,It is natural to feel pressure but I perform well under it,FALSE,Existing in or derived from nature; not made or caused by humankind,,,,
STYLE,My leadership style is democratic but decisive when required,FALSE,A manner of doing something,,,,
HANDICAP,A physical disability is not a handicap for a strong mind,FALSE,A circumstance that makes progress or success difficult,,,,
RAMSHACKLE,He lived in a ramshackle hut,FALSE,In a state of severe disrepair,,,,
CRANKY,I stay cheerful and do not get cranky under pressure,FALSE,Bad-tempered; irritable,,,,
GROPE,I grope for solutions in the dark and find them,FALSE,To feel about or search blindly or uncertainly with the hands,,,,
MISFORTUNE,I face misfortune with courage and see it as a test of character,FALSE,Bad luck,,,,
WEAKEN,I will not let any setback weaken my resolve,FALSE,To make or become weaker in power influence or physical strength,,,,
INTESTATE,He died intestate and his property was divided by law,FALSE,Not having made a valid will before one dies,,,,
CABAL,I believe in open discussion not in forming a cabal,FALSE,A secret political clique or faction,,,,
RESTORE,I help restore the morale of my team after a setback,FALSE,To bring back a situation or feeling to its former state,,,,
SKELETON,The police found a skeleton in the old house,FALSE,An internal or external framework of bone,or other rigid material,,,
ACCEPT,I accept challenges as opportunities for growth,FALSE,To consent to receive or undertake something offered,,,,
RAMPAGE,A disciplined mind never goes on a rampage,FALSE,To rush around in a violent and uncontrollable manner,,,,
PREJUDICIAL,His remarks were prejudicial to the interests of the company,FALSE,Harmful to someone or something,,,,
SATURNINE,He had a saturnine look and rarely smiled,FALSE,Slow and gloomy,,,,
KEEP,I keep my promises and commitments at all costs,FALSE,To have or retain possession of,,,,
INTRICATE,I can understand and solve intricate problems,FALSE,Very complicated or detailed,,,,
SLASH,He slashed the price of the goods,FALSE,To cut something with a wide,,,,
ROGUE,He was a rogue who had cheated many people,FALSE,A dishonest or unprincipled man,,,,
PRECIPICE,The car was dangling on the edge of a precipice,FALSE,A very steep rock face or cliff,,,,
EXPLOIT,I believe in fair play and do not exploit others' weaknesses,FALSE,To make full use of and derive benefit from a resource,,,,
SUBSIDY,The government gave a subsidy to the farmers,FALSE,A sum of money granted by the government or a public body,,,,
VIOLATE,I will never violate the rules and regulations of my organization,FALSE,To break or fail to comply with a rule or formal agreement,,,,
ILL,A healthy lifestyle keeps me from falling ill frequently,FALSE,Not in full health; unwell,,,,
PEER,He peered into the darkness to see who was there,FALSE,To look keenly or with difficulty at someone or something,,,,
PRECARIOUS,He was in a precarious financial situation,FALSE,Not securely held or in position; dangerously likely to fall or collapse,,,,
PUNISH,I believe in reforming people rather than punishing them,FALSE,To inflict a penalty or sanction on someone as retribution for an offense,,,,
BOTTOM,I can rise from the bottom to the top with my hard work,FALSE,The lowest point or part,,,,
DROWSY,I get enough sleep to not feel drowsy during work,FALSE,Sleepy and lethargic; half asleep,,,,
PLUMB,The wall was not plumb and had to be rebuilt,FALSE,To measure the depth of water,,,,
DIRE,I can perform well even in dire circumstances,FALSE,Extremely serious or urgent,,,,
PRIMORDIAL,He had a primordial fear of the dark,FALSE,Existing at or from the beginning of time,,,,
IRREFUTABLE,His argument was based on irrefutable facts,FALSE,Impossible to deny or disprove,,,,
EXTERMINATE,I believe in reforming the enemy not exterminating them,FALSE,To destroy completely,,,,
MORTGAGE,He had to mortgage his house to get a loan,FALSE,A legal agreement by which a bank lends money,,,,
POACH,He was arrested for poaching in the wildlife sanctuary,FALSE,To illegally hunt or catch on land or in water,,,,
CHANCE,I take every chance to learn and improve myself,FALSE,A possibility of something happening,,,,
NICE,It is nice to be important but more important to be nice,FALSE,Pleasant; agreeable; satisfactory,,,,
CLOG,I clear any clogs in communication to ensure smooth teamwork,FALSE,To block or become blocked with an accumulation of thick matter,,,,
ORDER,I follow orders with diligence and execute them efficiently,FALSE,An authoritative command or instruction,,,,
BLOCK,I find ways to get around any block in my path,FALSE,An obstacle to the normal progress or functioning of something,,,,
NECROMANCY,He was accused of practicing necromancy,FALSE,The supposed practice of communicating with the dead,,,,
SCORN,I do not scorn anyone as everyone has some good qualities,FALSE,The feeling or belief that someone or something is worthless or despicable,,,,
POSTERIOR,The posterior part of the building was damaged,FALSE,Further back in position; of or nearer the rear or hind end,,,,
SCAB,A scab had formed over the wound,FALSE,A dry,,,,
WILD,I can adapt to and survive in wild and untamed environments,FALSE,Living or growing in the natural environment; not domesticated or cultivated,,,,
IMPINGE,I do not let personal problems impinge on my professional life,FALSE,To have an effect or impact especially a negative one,,,,
SURFEIT,There was a surfeit of food at the party,FALSE,An excessive amount of something,,,,
CLIMAX,The climax of our efforts was the successful completion of the mission,FALSE,The most intense exciting or important point of something,,,,
SLAP,Discipline is like a slap that awakens you to reality,FALSE,To strike someone or something with the palm of one's hand or a flat object,,,,
RIPOSTE,He gave a witty riposte to her question,FALSE,A quick,,,,
RESTRICT,The entry to the area was restricted,FALSE,To put a limit on; keep under control,,,,
INDIFFERENT,I am passionate about my work and never indifferent to it,FALSE,Having no particular interest or sympathy; unconcerned,,,,
TELL,I can tell my team what to do in a clear and motivating way,FALSE,To communicate information to someone in spoken or written words,,,,
SMOOTH,Good planning ensures a smooth execution of the task,FALSE,Having an even and regular surface or consistency,,,,
EXPUNGE,I want to expunge all my weaknesses and shortcomings,FALSE,To obliterate or remove completely something unwanted or unpleasant,,,,
PLEA,He made a plea for mercy to the judge,FALSE,A request made in an urgent and emotional manner,,,,
DOOM,I am the master of my fate and do not believe in doom,FALSE,Death destruction or some other terrible fate,,,,
OBSEQUIOUS,He was obsequious to his boss to get a promotion,FALSE,Obedient or attentive to an excessive or servile degree,,,,
SMALL,He lived in a small house with his family,FALSE,Of a size that is less than normal or usual,,,,
PROSECUTE,He was prosecuted for tax evasion,FALSE,To institute legal proceedings against a person or organization,,,,
CALAMITY,A well-prepared team can face any calamity,FALSE,An event causing great and often sudden damage or distress,,,,
TAME,He tamed the wild horse,FALSE,Not dangerous or frightened of people,,,,
PURE,My intentions to serve the nation are pure and sincere,FALSE,Not mixed or adulterated with any other substance or material,,,,
MIST,A thick mist enveloped the valley in the morning,FALSE,A cloud of tiny water droplets suspended in the atmosphere,,,,
WALK,I prefer to walk and observe my surroundings,FALSE,To move at a regular pace by lifting and setting down each foot in turn never having both feet off the ground at once,,,,
RELUCTANT,I am never reluctant to take on new responsibilities,FALSE,Unwilling and hesitant; disinclined,,,,
PIERCE,The arrow pierced the heart of the deer,FALSE,To go into or through something,,,,
RAISE,I raise my hand to volunteer for difficult tasks,FALSE,To lift or move to a higher position or level,,,,
FINAL,The final decision is taken after consulting with the team,FALSE,Coming at the end of a series,,,,
ATTACK,A well-planned attack ensures swift and decisive victory,FALSE,An aggressive and violent action against a person or place,,,,
FORCEFUL,I can be forceful in my arguments when I know I am right,FALSE,Strong and assertive; vigorous and powerful,,,,
SUPERVENE,An unexpected event supervened and changed his plans,FALSE,To occur later than a specified or implied event or action,,,,
RESILIENT,He was a resilient person who bounced back from every failure,FALSE,Able to withstand or recover quickly from difficult conditions,,,,
DEMAND,I can meet the high demands of military life,FALSE,An insistent and peremptory request made as if by right,,,,
WRETCHED,I help those who are in a wretched condition,FALSE,In a very unhappy or unfortunate state,,,,
FINE,A fine balance between aggression and caution wins battles,FALSE,Of high quality,,,,
SUBJACENT,The subjacent layer of rock was very hard,FALSE,Situated below or under something else,,,,
MEDAL,A medal is a symbol of the nation's gratitude for our service,FALSE,A metal disk with an inscription or design made to commemorate an event or awarded as a distinction,,,,
SPRINT,He sprinted to the finish line,FALSE,To run at full speed over a short distance,,,,
UNWILLING,I am always willing to take on new challenges,FALSE,Not ready eager or prepared to do something,,,,
DEADLOCK,I can break any deadlock with my negotiation skills,FALSE,A situation typically one involving opposing parties in which no progress can be made,,,,
WIND,I can adjust my sails to the direction of the wind,FALSE,The perceptible natural movement of the air,,,,
CONFINE,I do not let my fears confine my potential,FALSE,To keep or restrict someone or something within certain limits,,,,
PASSION,My passion for serving the country drives me to do my best,FALSE,A strong and barely controllable emotion,,,,
SURRENDER,I will never surrender to injustice or wrongdoing,FALSE,To stop resisting to an enemy or opponent and submit to their authority,,,,
MOTTLED,The snake had a mottled skin,FALSE,Marked with spots or smears of color,,,,
UNLUCKY,I believe in hard work not in being lucky or unlucky,FALSE,Having or marked by bad luck,,,,
NUMBSKULL,I am intelligent,FALSE,not a numbskull,,,,
BACK,I always have my teammate's back in any situation,FALSE,The rear surface of the human body from the shoulders to the hips,,,,
BOG,I can navigate my way out of any bog or difficult situation,FALSE,An area of wet muddy ground that is too soft to support a heavy body,,,,
SLOG,He had to slog through the mud to reach the camp,FALSE,To work hard over a period of time,,,,
DUPE,I am alert and cannot be easily duped,FALSE,To deceive; trick,,,,
UNCIVILIZED,I am a cultured and civilized person,FALSE,Not socially or culturally advanced,,,,
JEOPARDY,I will never put my mission in jeopardy,FALSE,Danger of loss,or failure,,,
EXCUSE,I take responsibility for my actions and do not make excuses,FALSE,A reason or explanation put forward to defend or justify a fault or offense,,,,
TACIT,He gave his tacit approval to the plan,FALSE,Understood or implied without being stated,,,,
SUMMIT,Reaching the summit requires perseverance and teamwork,FALSE,The highest point of a hill or mountain,,,,
MISS,I learn from my misses and improve my aim for the next shot,FALSE,To fail to hit reach or contact something aimed at,,,,
JUST,A leader must be just and fair to all his subordinates,FALSE,Based on or behaving according to what is morally right and fair,,,,
PATRICIAN,He had a patrician air about him,FALSE,An aristocrat or nobleman,,,,
SHINE,I want to shine in my profession through hard work,FALSE,To give out a bright light,,,,
NEUROTIC,He is a neurotic person who worries about everything,FALSE,Suffering from,or relating to neurosis,,,
PUGILIST,He was a famous pugilist in his time,FALSE,A boxer,,,,
AMAZE,The coordinated effort of a team can produce amazing results,FALSE,To surprise someone greatly; fill with astonishment,,,,
PARENT,My parents are my role models and I want to make them proud,FALSE,A father or mother,,,,
PUPPET,The dictator was just a puppet in the hands of the army,FALSE,A movable model of a person or animal,,,,
RAVINE,The river flowed through a deep ravine,FALSE,A deep,,,,
NASTY,I can handle nasty situations with a calm and composed mind,FALSE,Very bad or unpleasant,,,,
SILENT,I am a silent worker and let my actions speak for me,FALSE,Not making or accompanied by any sound,,,,
OUTLAW,Robin Hood was an outlaw who robbed the rich to help the poor,FALSE,A person who has broken the law,,,,
OVERFLOW,The river was overflowing its banks,FALSE,To flow over the brim of a receptacle,,,,
SLOB,He was a slob who never cleaned his room,FALSE,A person who is lazy and has low standards of cleanliness,,,,
MOODY,He is a moody person and his behavior is unpredictable,FALSE,Given to unpredictable changes of mood,,,,
FOIL,I can foil any plan of the enemy with my intelligence,FALSE,To prevent something considered wrong or undesirable from succeeding,,,,
FRAGMENT,I can piece together fragments of information to get the full picture,FALSE,A small part broken or separated off something,,,,
OGLE,He was arrested for ogling at women,FALSE,To stare at in a lecherous manner,,,,
INSURRECTION,A stable government can prevent any insurrection,FALSE,A violent uprising against an authority or government,,,,
COST,I am willing to pay the cost for achieving my goals,FALSE,An amount that has to be paid or spent to buy or obtain something,,,,
CONCEAL,I believe in transparency and do not conceal important information,FALSE,To not allow to be seen; hide,,,,
STUPID,There are no stupid questions only the ones that are not asked,FALSE,Having or showing a great lack of intelligence or common sense,,,,
WARM,A warm welcome can make a new team member feel comfortable,FALSE,Of or at a fairly or comfortably high temperature,,,,
POUT,The child pouted when he did not get the toy,FALSE,To push one's lips or one's bottom lip forward as an expression of annoyance,,,,
DEVOTION,My devotion to my country is my guiding force,FALSE,Love loyalty or enthusiasm for a person activity or cause,,,,
BORDER,I am ready to defend the borders of my nation,FALSE,A line separating two political or geographical areas,,,,
EMBARGO,A trade embargo can be a tool of foreign policy,FALSE,An official ban on trade or other commercial activity with a particular country,,,,
SCANT,The scant information we had was not enough,FALSE,Barely sufficient or adequate,,,,
NONENTITY,He was a nonentity in the organization until he proved his worth,FALSE,An unimportant person or thing,,,,
SNUFF,He snuffed out the candle,FALSE,To extinguish a candle or light,,,,
SYMBIOSIS,There was a symbiosis between the two companies,FALSE,A mutually beneficial relationship,,,,
INFLUENTIAL,A good leader is influential and inspires his team,FALSE,Having great influence on someone or something,,,,
SCAR,Every scar on a soldier's body is a story of bravery,FALSE,A mark left on the skin or within body tissue where a wound burn or sore has not healed completely,,,,
PRIVILEGE,It is a privilege to get an opportunity to serve the nation,FALSE,A special right advantage or immunity granted or available only to a particular person or group,,,,
MISHAP,The trip was uneventful except for a minor mishap,FALSE,An unlucky accident,,,,
MISOGYNIST,He is a misogynist and has no respect for women,FALSE,A person who dislikes,or is strongly prejudiced against women,,,
MISTRUST,I have no reason to mistrust him,FALSE,To be suspicious of; have no confidence in,,,,
LURK,Danger was lurking in the shadows of the alley,FALSE,To be or remain hidden so as to wait in ambush,,,,
SUNDER,The country was sundered by a civil war,FALSE,To split apart,,,,
RIG,The election was rigged by the ruling party,FALSE,To manage or conduct something fraudulently,,,,
GRISLY,The details of the crime were grisly,FALSE,Causing horror or disgust,,,,
RETARD,The lack of funds retarded the progress of the project,FALSE,To delay or hold back in terms of progress,,,,
NAB,The police managed to nab the thief red-handed,FALSE,To catch someone doing something wrong,,,,
FALTER,My determination will not falter in the face of adversity,FALSE,To start to lose strength or momentum,,,,
ENDANGER,I will never endanger the lives of my men through my negligence,FALSE,To put someone or something at risk or in danger,,,,
CALM,I remain calm under pressure to make rational decisions,FALSE,Not showing or feeling nervousness anger or other emotions,,,,
SOLICITUDE,He showed great solicitude for her health,FALSE,Care or concern for someone or something,,,,
REBEL,I am a rebel against injustice and unfairness,FALSE,A person who rises in opposition or armed resistance against an established government or ruler,,,,
STRAIGHT,I am a straightforward person and believe in clear communication,FALSE,Extending or moving uniformly in one direction only; without a curve or bend,,,,
SPATIAL,He had a good spatial awareness,FALSE,Relating to or occupying space,,,,
SLANDER,He was sued for slander for his false statements,FALSE,The action or crime of making a false spoken statement damaging to a person's reputation,,,,
EAGER,I am eager to learn from my seniors and experienced leaders,FALSE,Strongly wanting to do or have something,,,,
FOMENT,I work to calm situations not to foment trouble,FALSE,To instigate or stir up an undesirable or violent sentiment or course of action,,,,
REFLECT,I reflect on my actions to learn and improve,FALSE,To think deeply or carefully about,,,,
CONNECT,I connect with my teammates to build strong professional bonds,FALSE,To bring together or into contact so that a real or notional link is established,,,,
PETTY,I focus on the bigger picture and don't get involved in petty issues,FALSE,Of little importance; trivial,,,,
OVERHEAD,The overhead expenses of the company were very high,FALSE,Relating to the general costs of running a business,,,,
MAZE,I can find my way out of any maze with my logical thinking,FALSE,A network of paths and hedges designed as a puzzle through which one has to find a way,,,,
DECEIT,I believe in transparency and not in deceit,FALSE,The action or practice of deceiving someone by concealing or misrepresenting the truth,,,,
QUERY,I have a query about the new policy,FALSE,A question,,,,
MILDEW,The old books were covered with mildew,FALSE,A thin whitish coating consisting of fungal hyphae,,,,
PROSPECT,The prospect of a new job excited him,FALSE,The possibility or likelihood of some future event occurring,,,,
SLITHER,The snake slithered across the path,FALSE,To move smoothly over a surface with a twisting or oscillating motion,,,,
AVERAGE,I strive for excellence and am not content with being average,FALSE,Constituting the result obtained by adding together several quantities and then dividing this total by the number of quantities,,,,
PERTURB,I was perturbed by the news of his illness,FALSE,To make someone anxious or unsettled,,,,
SENTENTIOUS,His sententious remarks were full of moralizing,FALSE,Given to moralizing in a pompous or affected manner,,,,
LURID,The lurid details of the murder were all over the news,FALSE,Very vivid in color,,,,
ROAD,A clear road map is essential for mission success,FALSE,A wide way leading from one place to another,,,,
RANKLE,The insult continued to rankle in his mind,FALSE,To cause annoyance or resentment that persists,,,,
PLAIT,She plaited her long hair into a braid,FALSE,A single length of hair or other flexible material,,,,
IRATE,I can calm down an irate person with my polite words,FALSE,Feeling or characterized by great anger,,,,
PAUCITY,There was a paucity of funds for the new project,FALSE,The presence of something only in small or insufficient quantities,,,,
JITTERY,I remain calm before a big event and do not feel jittery,FALSE,Nervous or unable to relax,,,,
PRIG,He was a prig who always looked down upon others,FALSE,A self-righteously moralistic person,,,,
PRESS,I can handle pressure and perform well in demanding situations,FALSE,To move or cause to move into a position of contact with something by exerting continuous physical force,,,,
POUNCE,The cat pounced on the mouse,FALSE,To spring or swoop suddenly so as to seize or attack,,,,
NOBLE,Serving the nation is a noble and honorable profession,FALSE,Belonging to a hereditary class with high social or political status; aristocratic,,,,
RELISH,He relished the delicious food,FALSE,To enjoy greatly,,,,
COURAGE,My courage inspires my team to face challenges boldly,FALSE,The ability to do something that frightens one,,,,
CENSOR,I believe in freedom of expression with responsibility,FALSE,An official who examines material that is to be censored,,,,
PLAN,A good plan is the first step towards success,FALSE,A detailed proposal for doing or achieving something,,,,
PENDANT,She wore a beautiful diamond pendant around her neck,FALSE,A piece of jewelry that hangs from a chain worn around the neck,,,,
SLOUCH,He was slouching in his chair,FALSE,To stand,or sit in a lazy,drooping way,,
REBUKE,The teacher rebuked the student for his bad behavior,FALSE,To express sharp disapproval or criticism of someone,,,,
SUPPLANT,He supplanted his rival and became the new leader,FALSE,To supersede and replace,,,,
EAT,I eat a balanced diet to stay healthy and fit,FALSE,To put food into the mouth and chew and swallow it,,,,
PRESENT,I am focused on the present to build a better future,FALSE,Existing or occurring now,,,,
SKINFLINT,He was a skinflint who never spent a penny,FALSE,A person who spends as little money as possible,,,,
LANGUID,A soldier can never afford to be languid,FALSE,Slow and relaxed,,,,
SHAM,His claim to be a doctor was a sham,FALSE,A thing that is not what it is purported to be,,,,
NIP,The cold wind nipped at our faces,FALSE,To bite or pinch sharply,,,,
TIRED,My mind keeps me going even when my body is tired,FALSE,In need of sleep or rest; weary,,,,
COMMUNICATE,I communicate clearly and concisely with my team,FALSE,To share or exchange information news or ideas,,,,
OPPOSE,I will oppose any injustice or wrongdoing,FALSE,To disapprove of and attempt to prevent especially by argument,,,,
SWEAR,I swear allegiance to my country and its constitution,FALSE,To utter a solemn declaration or promise,,,,
INSUFFERABLE,His arrogant behavior was insufferable,FALSE,Too extreme to bear; intolerable,,,,
WRITE,I write down my goals to stay focused and motivated,FALSE,To mark coherent words on a surface with a pen pencil or similar implement,,,,
PAIN-STAKING,His pain-staking research work was finally recognized,FALSE,Done with or employing great care and thoroughness,,,,
LEGEND,Legends are made through extraordinary courage and sacrifice,FALSE,A traditional story sometimes popularly regarded as historical but unauthenticated,,,,
REVILE,He was reviled by the public for his controversial views,FALSE,To criticize in an abusive or angrily insulting manner,,,,
LITTER,I do not litter and keep my surroundings clean,FALSE,Trash,cans,and bottles,left lying in an open or public place,
PERSPIRE,He was perspiring profusely after the workout,FALSE,To give out sweat through the pores of the skin,,,,
GOAD,I am self-motivated and do not need to be goaded,FALSE,To provoke or annoy someone so as to stimulate some action or reaction,,,,
RESENT,He resented the fact that he was not promoted,FALSE,To feel bitterness or indignation at a circumstance,or person,,,
EXTINCT,We must work to save extinct species from disappearing,FALSE,Having no living members,,,,
PRESUME,I presume you have already read the report,FALSE,To suppose that something is the case on the basis of probability,,,,
MAD,I can control my emotions and do not get mad easily,FALSE,Mentally ill; insane,,,,
SCUFF,He scuffed his new shoes on the pavement,FALSE,To scrape or brush the surface of a shoe or other object,,,,
JOKE,A good joke can boost the morale of the team during hardships,FALSE,A thing that someone says to cause amusement or laughter,,,,
INTERLOPER,I am a team player,FALSE,not an interloper,,,,
BUSY,I keep myself busy with productive and meaningful work,FALSE,Having a great deal to do,,,,
NIHILISM,He was a proponent of nihilism and believed in nothing,FALSE,The rejection of all religious and moral principles,,,,
PICTURE,A clear picture of the objective is essential for planning,FALSE,A representation of a person or scene in the form of a painting photograph or drawing,,,,
LOATHE,I loathe any form of injustice and discrimination,FALSE,To feel intense dislike or disgust for,,,,
EXPLORE,I like to explore different methods to solve a problem,FALSE,To inquire into or discuss a subject or issue in detail,,,,
RESCIND,The government rescinded the controversial law,FALSE,To revoke,or repeal a law,order,or agreement,
WELL,A job well done gives immense satisfaction,FALSE,In a good or satisfactory way,,,,
BLUNT,I can be blunt and straightforward when the situation demands,FALSE,Having a worn-down or rounded edge or point; not sharp,,,,
OVERLY,He was overly optimistic about his chances of winning,FALSE,To an excessive degree,,,,
MALEDICTION,The witch uttered a malediction on the prince,FALSE,A curse,,,,
DISBELIEF,I believe in my abilities and have no room for disbelief,FALSE,Inability or refusal to accept that something is true or real,,,,
QUAVER,His voice quavered with emotion,FALSE,To shake or tremble in speaking,,,,
REIN,He kept a tight rein on his emotions,FALSE,A long,,,,
VISION,A leader must have a clear vision for the team's future,FALSE,The ability to think about or plan the future with imagination or wisdom,,,,
DRENCH,I am ready to be drenched in sweat during training,FALSE,To wet thoroughly; soak,,,,
PLUNGE,He plunged into the river to save the drowning child,FALSE,To jump or dive quickly and energetically,,,,
SIGNIFICANT,Every team member plays a significant role in the mission's success,FALSE,Sufficiently great or important to be worthy of attention; noteworthy,,,,
SICKLY,He was a sickly child who was always ill,FALSE,Often ill; in poor health,,,,
GLARE,I am not intimidated by an angry glare,FALSE,To stare in an angry or fierce way,,,,
WISH,I wish for the safety and prosperity of my country,FALSE,To feel or express a strong desire or hope for something,,,,
DUMB,No question is a dumb question when you want to learn,FALSE,Temporarily unable or unwilling to speak,,,,
DROUGHT,Good water management can help in fighting a drought,FALSE,A prolonged period of abnormally low rainfall,,,,
SISTER,My sister and I always support each other's goals,FALSE,A woman or girl who has one or both parents in common with another person,,,,
HERESY,Challenging an old belief is not always a heresy,FALSE,Belief or opinion contrary to orthodox religious doctrine,,,,
HAPLESS,I try to help the hapless victims of a disaster,FALSE,Unfortunate,,,,
RAT,A rat in a sinking ship flees but a captain stays,FALSE,A rodent that resembles a large mouse,,,,
LAW,I respect the law of the land and abide by it,FALSE,The system of rules which a particular country or community recognizes as regulating the actions of its members,,,,
TAPER,The candle tapered to a point,FALSE,To diminish or reduce in thickness toward one end,,,,
PATRIARCH,He was the patriarch of the large family,FALSE,The male head of a family or tribe,,,,
ERR,To err is human; I learn from my errors,FALSE,To be mistaken or incorrect; make a mistake,,,,
UNSURE,I am sure of my goals and my path to achieve them,FALSE,Not feeling confident,,,,
UNSAFE,I take all precautions to make my environment safe,FALSE,Not safe; dangerous,,,,
PROHIBITIVE,The cost of the new technology was prohibitive,FALSE,Forbidding or restricting something,,,,
INOPERABLE,Good maintenance ensures that our equipment is never inoperable,FALSE,Not able to be suitably operated on,,,,
SCRAM,He scrammed from the scene of the crime,FALSE,To leave or go away from a place quickly,,,,
PLAQUE,He received a plaque for his outstanding service,FALSE,An ornamental tablet,porcelain,or wood,,
TEASE,I engage in healthy banter but never tease anyone hurtfully,FALSE,To make fun of or attempt to provoke a person or animal in a playful way,,,,
SANCTUARY,He took sanctuary in a church,FALSE,A place of refuge or safety,,,,
REQUITAL,He did not expect any requital for his help,FALSE,A return or reward for a service or kindness,,,,
DEFY,I defy all odds to achieve my goals,FALSE,To openly resist or refuse to obey,,,,
OVERCAST,The sky was overcast and it looked like it would rain,FALSE,Marked by a covering of gray clouds; dull,,,,
FEEBLE-MINDED,I am mentally strong and not feeble-minded,FALSE,Unable to make intelligent decisions or judgments,,,,
ACCURATE,I strive to be accurate in my reports and actions,FALSE,Correct in all details; exact,,,,
IDIOT,I do not call anyone an idiot; I try to understand them,FALSE,A stupid person,,,,
INDULGE,I indulge in sports and hobbies in my free time,FALSE,To allow oneself to enjoy the pleasure of,,,,
SUCCESS,Team success is achieved through cooperation and shared goals,FALSE,The accomplishment of an aim or purpose,,,,
MISFIT,He was a misfit in the team and was asked to leave,FALSE,A person whose behavior or attitude sets them apart from others,,,,
SUPERANNUATED,The superannuated employee was given a pension,FALSE,Obsolete through age or new technological developments,,,,
INCAPABLE,I am capable of handling any responsibility given to me,FALSE,Unable to do or achieve something,,,,
NIMINY-PIMINY,I am a straightforward person,FALSE,not a niminy-pimeny one,delicate,or prissy,,
BRAVE,A brave soldier is a great asset to the nation,FALSE,Ready to face and endure danger or pain; showing courage,,,,
CORRUPT,I will fight against corruption at all levels,FALSE,Having or showing a willingness to act dishonestly in return for money or personal gain,,,,
